condition,episode,rso,uncertainty_km
correct,0,144,0.40537917613983154
correct,0,145,0.2569570541381836
correct,0,146,0.18469274044036865
correct,0,147,0.2710550129413605
correct,0,148,0.622717022895813
correct,0,149,0.5520523190498352
correct,0,150,0.3799908757209778
correct,0,151,0.5094038248062134
correct,0,152,0.3747321665287018
correct,0,153,0.30614951252937317
correct,0,154,0.05999999865889549
correct,0,155,0.18340282142162323
correct,0,156,0.6789982318878174
correct,0,157,0.7801415324211121
correct,0,158,1.0659847259521484
correct,0,159,0.6342653036117554
correct,0,160,0.33539652824401855
correct,0,161,0.13849902153015137
correct,0,162,0.7184308171272278
correct,0,163,0.24057117104530334
correct,0,164,0.8659854531288147
correct,0,165,0.8755403757095337
correct,0,166,0.34082674980163574
correct,0,167,0.2285865694284439
correct,0,168,0.9478508830070496
correct,0,169,0.2533656656742096
correct,0,170,0.2024039775133133
correct,0,171,0.23165084421634674
correct,0,172,0.295285701751709
correct,0,173,1.0814568996429443
correct,0,174,0.24429769814014435
correct,0,175,0.3058105409145355
correct,0,176,0.2855145335197449
correct,0,177,0.5911702513694763
correct,0,178,1.2580066919326782
correct,0,179,0.6625508069992065
correct,0,180,0.4813844561576843
correct,0,181,0.23305058479309082
correct,0,182,0.7173243165016174
correct,0,183,0.7143121361732483
correct,0,184,0.5345906615257263
correct,0,185,0.7612812519073486
correct,0,186,0.39762499928474426
correct,0,187,0.764864444732666
correct,0,188,0.23439143598079681
correct,0,189,1.3423320055007935
correct,0,190,0.1677926480770111
correct,0,191,0.5782738924026489
correct,0,192,0.7485939264297485
correct,0,193,0.5769599080085754
correct,0,194,0.1555728018283844
correct,0,195,0.5053667426109314
correct,0,196,0.3965020775794983
correct,0,197,0.6173987984657288
correct,0,198,0.6221529245376587
correct,0,199,0.34679120779037476
correct,0,200,1.17188560962677
correct,0,201,0.22143962979316711
correct,0,202,0.49246108531951904
correct,0,203,0.35658615827560425
correct,0,204,0.7618529200553894
correct,0,205,0.21604131162166595
correct,0,206,0.29976046085357666
correct,0,207,0.5103431940078735
correct,0,208,0.39906662702560425
correct,0,209,0.8511002659797668
correct,0,210,0.3263828158378601
correct,0,211,0.6364957690238953
correct,0,212,0.21128015220165253
correct,0,213,0.05999999865889549
correct,0,214,0.5621463060379028
correct,0,215,0.7954005599021912
correct,0,216,0.1781560629606247
correct,0,217,0.9371808767318726
correct,0,218,0.3905137777328491
correct,0,219,0.2245863974094391
correct,0,220,0.28928589820861816
correct,0,221,0.5456674098968506
correct,0,222,1.0358844995498657
correct,0,223,0.3045339584350586
correct,0,224,0.27088993787765503
correct,0,225,0.23983965814113617
correct,0,226,0.402729868888855
correct,0,227,0.09437388181686401
correct,0,228,0.47623634338378906
correct,0,229,0.7028539776802063
correct,0,230,0.5636753439903259
correct,0,231,0.36921069025993347
correct,0,232,0.9481654167175293
correct,0,233,0.6854285001754761
correct,0,234,0.6702397465705872
correct,0,235,0.24309855699539185
correct,0,236,0.05999999865889549
correct,0,237,0.5539314150810242
correct,0,238,0.8472411632537842
correct,0,239,0.28508493304252625
correct,1,0,0.27806785702705383
correct,1,1,0.5316572189331055
correct,1,2,0.6365118026733398
correct,1,3,0.3983289897441864
correct,1,4,0.8534807562828064
correct,1,5,0.9364411234855652
correct,1,6,0.9074311256408691
correct,1,7,0.08033525943756104
correct,1,8,0.3442235291004181
correct,1,9,1.166823148727417
correct,1,10,0.42998889088630676
correct,1,11,0.3646165132522583
correct,1,12,0.40127718448638916
correct,1,13,0.7162728905677795
correct,1,14,0.2459220588207245
correct,1,15,0.06775020062923431
correct,1,16,0.3066185414791107
correct,1,17,0.4149678349494934
correct,1,18,0.05999999865889549
correct,1,19,0.6715596318244934
correct,1,20,1.3687164783477783
correct,1,21,0.06519787013530731
correct,1,22,0.5230703353881836
correct,1,23,0.4351949393749237
correct,1,24,1.4252299070358276
correct,1,25,0.9079136252403259
correct,1,26,0.34888046979904175
correct,1,27,0.7590296268463135
correct,1,28,0.06227194890379906
correct,1,29,0.35242581367492676
correct,1,30,0.34101951122283936
correct,1,31,0.4504825472831726
correct,1,32,0.2273751199245453
correct,1,33,0.29351577162742615
correct,1,34,0.3843185007572174
correct,1,35,1.7364187240600586
correct,1,36,0.41699525713920593
correct,1,37,0.9414994716644287
correct,1,38,0.3600642681121826
correct,1,39,0.5093194246292114
correct,1,40,0.647544801235199
correct,1,41,0.5427070260047913
correct,1,42,0.2885536551475525
correct,1,43,0.3864230811595917
correct,1,44,0.3775957226753235
correct,1,45,0.42454060912132263
correct,1,46,0.3395920395851135
correct,1,47,0.38191062211990356
correct,1,48,0.33072394132614136
correct,1,49,0.9460810422897339
correct,1,50,0.28432440757751465
correct,1,51,0.7433313727378845
correct,1,52,1.0120155811309814
correct,1,53,0.2448408007621765
correct,1,54,0.7600693106651306
correct,1,55,0.8835344314575195
correct,1,56,0.7837220430374146
correct,1,57,0.4624413847923279
correct,1,58,0.5966750383377075
correct,1,59,0.16975879669189453
correct,1,60,0.32743191719055176
correct,1,61,0.7397152185440063
correct,1,62,0.2321891039609909
correct,1,63,0.0850522518157959
correct,1,64,0.23775750398635864
correct,1,65,0.2003590315580368
correct,1,66,1.8490335941314697
correct,1,67,0.8999183773994446
correct,1,68,0.369016170501709
correct,1,69,0.2784043550491333
correct,1,70,1.8640230894088745
correct,1,71,0.5191110372543335
correct,1,72,0.405995637178421
correct,1,73,0.20833206176757812
correct,1,74,0.06979352235794067
correct,1,75,0.2860737442970276
correct,1,76,0.1643623262643814
correct,1,77,0.43035200238227844
correct,1,78,0.4645046591758728
correct,1,79,0.10154125839471817
correct,1,80,0.6383781433105469
correct,1,81,0.4982821047306061
correct,1,82,0.6727301478385925
correct,1,83,0.4616185426712036
correct,1,84,0.5237176418304443
correct,1,85,0.43343430757522583
correct,1,86,0.40040722489356995
correct,1,87,0.3269345164299011
correct,1,88,0.3419624865055084
correct,1,89,0.6055048108100891
correct,1,90,0.4646390974521637
correct,1,91,0.27864697575569153
correct,1,92,0.7624014616012573
correct,1,93,0.1601739227771759
correct,1,94,0.6137226223945618
correct,1,95,0.31268227100372314
correct,1,96,0.06809572130441666
correct,1,97,1.7832396030426025
correct,1,98,1.6551947593688965
correct,1,99,0.4196484386920929
correct,1,100,0.1844768226146698
correct,1,101,1.0083048343658447
correct,1,102,1.1532819271087646
correct,1,103,0.21830210089683533
correct,1,104,0.3748617470264435
correct,1,105,0.09580259025096893
correct,1,106,1.3357328176498413
correct,1,107,0.29243674874305725
correct,1,108,0.42937397956848145
correct,1,109,0.5408943891525269
correct,1,110,0.7841638326644897
correct,1,111,0.5905151963233948
correct,1,112,0.313622385263443
correct,1,113,1.8822643756866455
correct,1,114,0.567719578742981
correct,1,115,0.30074113607406616
correct,1,116,1.5593410730361938
correct,1,117,0.503989577293396
correct,1,118,0.1080818921327591
correct,1,119,1.6603128910064697
correct,1,120,0.17262277007102966
correct,1,121,0.8802011609077454
correct,1,122,0.39980849623680115
correct,1,123,0.3388705849647522
correct,1,124,0.32606592774391174
correct,1,125,0.25700339674949646
correct,1,126,0.38159528374671936
correct,1,127,0.26916033029556274
correct,1,128,0.23760968446731567
correct,1,129,0.5318376421928406
correct,1,130,0.5713212490081787
