condition,episode,rso,mean_altitude_km,max_abs_latitude_deg,estimated_inclination_deg,estimated_raan_deg,dominant_sensor,dominant_sensor_fraction,num_visiting_sensors,total_observations
correct,0,125,715.7897188780738,40.543697357177734,139.45124709695958,184.59785613844448,2,0.7575757575757576,2,33
correct,0,126,762.4669089395492,23.023738861083984,23.16725223614371,15.044943933239098,1,0.9142857142857143,2,35
correct,0,127,776.6850185706967,82.81134796142578,88.51469597257828,356.93582314932047,2,0.40816326530612246,4,49
correct,0,128,723.2654649077868,80.8656234741211,98.78686393357034,357.0808418573842,0,0.625,3,64
correct,0,129,705.9769307120902,69.2319107055664,69.24168687964297,185.63220632723727,3,0.4074074074074074,4,27
correct,0,130,692.619813012295,76.09326171875,103.85023334117297,357.01827694849663,0,0.4444444444444444,3,9
correct,0,131,683.805712090164,48.47390365600586,48.474850817015096,185.12760366977847,1,0.4,4,10
correct,0,132,705.7349193135246,84.5479507446289,84.61387923211349,358.8484401194367,1,0.4146341463414634,3,41
correct,0,133,680.3602074795082,61.18028259277344,61.19122879883354,180.3379918490066,2,0.5657894736842105,3,76
correct,0,134,694.327612704918,67.4937744140625,67.50976924427466,8.321794068483161,1,0.5333333333333333,3,30
correct,0,135,769.5449058657787,53.798866271972656,125.92740246684639,354.64730160739936,0,0.5,3,34
correct,0,136,748.1122166367828,45.92374038696289,46.3095882466702,0.24987685199185136,1,0.46808510638297873,4,47
correct,0,137,770.7579165599385,64.61750793457031,64.6175223019468,357.02800395622404,3,0.9111111111111111,2,45
correct,0,138,645.7217117059427,20.125539779663086,159.86667106580833,347.0920994762442,1,0.847457627118644,3,59
correct,0,139,658.985119428791,32.80828094482422,147.19142389606824,190.14649790684234,3,0.59375,3,32
correct,0,140,720.5639488345287,21.536357879638672,21.54331975371689,2.7215360763158447,1,0.5476190476190477,3,42
correct,0,141,775.795690317623,7.293015956878662,7.293151355370255,34.178994983458566,1,0.37209302325581395,4,43
correct,0,142,650.9383805071722,60.230613708496094,60.251030651428955,1.8855376097920964,1,0.3333333333333333,4,99
correct,0,143,714.1853947873975,53.972930908203125,126.02604726544718,4.197278956629526,0,1.0,1,45
correct,0,144,651.8441422259222,45.969940185546875,134.02690029846696,4.120273856618169,3,0.3888888888888889,3,36
correct,0,145,694.3246429943648,64.48109436035156,115.50058879109257,183.9158203830635,2,0.7586206896551724,3,29
correct,0,146,772.2991803278688,46.46855545043945,46.47710741691996,182.59046259836103,3,0.5,4,10
correct,0,147,726.6259685578893,30.882118225097656,30.887071989176857,348.5255388067481,0,0.9,2,10
correct,0,148,668.5683273565573,88.36170196533203,88.52481126330719,176.6239381908125,3,0.8214285714285714,3,28
correct,0,149,642.8235943903688,32.593318939208984,32.601468211623974,168.4027122154892,3,0.8484848484848485,3,33
correct,0,150,699.2700515496927,71.0193099975586,71.02017780008998,356.4574368572601,3,0.6842105263157895,4,38
correct,0,151,669.6199490906762,59.8723030090332,120.11189439923929,7.018666342786638,2,0.45454545454545453,3,22
correct,0,152,763.7115698642418,74.10142517089844,104.0149833607771,175.88944742968022,0,0.42857142857142855,3,28
correct,0,153,664.6783907530738,28.774137496948242,151.217397552118,172.272288345296,2,1.0,1,18
correct,0,154,730.1153624487705,45.657737731933594,134.34220979746388,182.36990298599378,1,0.7073170731707317,3,41
correct,0,155,697.9560386782787,24.945600509643555,155.05079921268643,166.52327799405685,2,0.9722222222222222,2,36
correct,0,156,755.5282002433402,71.56832122802734,71.56990674695096,172.08575458694543,0,0.9714285714285714,2,70
correct,0,157,679.920202036373,23.81591033935547,23.816125439198686,183.32712463521858,2,0.47619047619047616,3,21
correct,0,158,652.6234471055328,65.80423736572266,114.1956947572942,173.86911863901562,3,0.9,2,10
correct,0,159,696.8114914190573,75.02489471435547,104.91891846254812,176.6025595864881,1,0.6290322580645161,2,62
correct,0,160,755.5552158043033,32.02959060668945,32.07564595087776,9.86768047114562,3,0.52,3,25
correct,0,161,689.491467085041,71.73014068603516,71.75805004111903,174.5127267691489,1,0.5111111111111111,4,45
correct,0,162,702.6449474897541,66.32095336914062,66.33484518958956,177.6749676537782,3,0.8260869565217391,3,23
correct,0,163,651.2322457735655,87.82560729980469,88.95798206183726,182.02589388327416,0,0.9230769230769231,3,39
correct,0,164,738.3177270107582,78.50009155273438,101.49067529069347,1.7170237064445972,0,0.4,4,20
correct,0,165,670.6993948514345,34.47714614868164,145.51619831084037,173.74759666576705,0,0.48148148148148145,4,27
correct,0,166,762.2918641137295,35.70115661621094,35.88262785261109,172.74977210624036,3,0.5789473684210527,3,19
correct,0,167,639.3293657146517,67.6697769165039,67.67079501987882,183.2775793260175,3,0.5454545454545454,3,66
correct,0,168,677.9395651895492,72.95962524414062,72.9627383264652,179.8080355810066,3,0.7,3,30
correct,0,169,691.9554143186475,57.231258392333984,57.23157245725161,174.373911048602,3,0.6923076923076923,3,13
correct,0,170,704.6593317751025,64.7598648071289,64.78157032333012,359.9933438291934,1,0.35135135135135137,4,37
correct,0,171,760.891905737705,62.34370422363281,62.415914352188864,2.7524495254700763,3,0.6666666666666666,2,42
correct,0,172,672.6929271260246,66.85031127929688,66.86214180371711,3.9625624049861776,0,0.5342465753424658,3,73
correct,0,173,731.7174852715164,32.77859878540039,147.0969889175174,1.3370249642350824,1,0.9583333333333334,2,48
correct,0,174,721.5304735527664,74.40853118896484,105.58119965620902,358.63957309113067,0,0.5945945945945946,3,37
correct,0,175,752.1599561347336,72.77579498291016,106.51148553428008,174.42178948393206,3,0.375,4,24
correct,0,176,646.8458792264345,23.271839141845703,156.72776228321732,357.78386503410377,1,0.4,3,5
correct,0,177,721.7709640753073,7.117802619934082,7.119239861809896,4.026963349206854,0,0.5,3,12
correct,0,178,639.3668993340164,54.483219146728516,54.486944344338745,7.277075647840647,2,0.9615384615384616,2,52
correct,0,179,731.652063588627,24.536514282226562,24.61442428589745,192.71492296854535,0,0.864406779661017,3,59
correct,0,180,769.5403592469262,84.8332748413086,84.89477112625299,355.99710958265706,3,0.8,2,35
correct,0,181,700.0357165727459,15.757672309875488,15.765096512905107,184.23443189825448,1,0.6571428571428571,3,35
correct,0,182,729.2578205046107,41.007835388183594,138.98757113749113,1.4430068415829673,1,0.9642857142857143,3,56
correct,0,183,667.2357597976435,63.08844757080078,63.1255351561078,4.323179711832163,1,0.9090909090909091,3,33
correct,0,184,672.4867123463115,20.0208740234375,159.97569213630672,197.3131458169716,1,0.8,3,25
correct,0,185,698.2024125896517,29.210418701171875,29.214049141769735,172.71214980553296,0,0.875,2,32
correct,0,186,755.661645107582,50.53055953979492,129.4663728721115,359.2645626791647,0,0.7317073170731707,2,41
correct,0,187,742.6825611552254,71.04134368896484,72.34984475862655,173.88470496183564,0,0.5625,3,48
correct,0,188,686.562475986168,76.45638275146484,103.5154913474083,179.2070196105881,0,0.7857142857142857,3,14
correct,0,189,761.8968525870902,81.65123748779297,91.4255038895289,177.60611927705122,3,1.0,1,26
correct,0,190,746.1092709400615,24.36322784423828,24.488299498963354,198.39140784802638,3,0.6666666666666666,2,21
correct,0,191,699.0925252945697,12.70019817352295,12.706269377163775,198.49783897079843,1,0.7,3,20
correct,0,192,653.6294665727459,72.04341888427734,107.94220590775582,355.04610163524836,0,1.0,1,31
correct,0,193,634.075427446209,77.01872253417969,77.01879004370761,359.02198143221847,3,0.5,3,16
correct,0,194,682.1031153944672,51.092689514160156,51.10092131827422,1.6447054799509004,1,0.42105263157894735,3,38
correct,0,195,633.643042392418,78.35680389404297,78.36541000267583,185.56954585674399,1,0.9411764705882353,2,34
correct,0,196,734.2977955302254,46.11420440673828,133.78191880606101,180.40548367529044,0,0.9361702127659575,3,47
correct,0,197,728.698546362705,78.20850372314453,101.52542137796264,355.64480871546573,0,0.6296296296296297,3,27
correct,0,198,747.0377097207992,85.41622161865234,85.42867310389391,176.91983533740864,0,1.0,1,91
correct,0,199,738.330518378586,41.22412872314453,138.755400956504,183.10346537445878,1,0.7560975609756098,3,41
correct,0,200,760.5858094262295,35.505001068115234,144.3376608457869,349.021901740372,1,1.0,1,49
correct,0,201,704.2935690957992,13.293757438659668,13.29381048755193,18.584839061860492,2,0.65,4,20
correct,0,202,707.8837090163935,2.934629440307617,2.9347163503684133,42.982943296204056,1,0.5172413793103449,3,29
correct,0,203,761.2867011398565,57.57871627807617,58.23612711620779,183.51410990041444,3,0.6346153846153846,3,52
correct,0,204,650.6161388960041,52.96940231323242,127.01725625672744,186.62720041968848,2,0.7307692307692307,2,26
correct,0,205,704.7000672387295,58.14456558227539,58.16244355468142,1.2303934142626272,0,0.36363636363636365,4,22
correct,0,206,672.5318103227459,33.88926315307617,146.10200929002244,189.84258097654134,3,0.42857142857142855,3,7
correct,0,207,693.8729908427254,31.84221076965332,31.853019654824966,346.20764709097773,3,0.875,3,16
correct,0,208,708.8243788422132,68.36043548583984,68.46132132480486,358.2369469785276,2,0.38461538461538464,3,39
correct,0,209,677.9185851050205,2.80523419380188,2.8052600326007897,304.5620954664055,2,0.7391304347826086,2,23
correct,0,210,757.7287317494877,69.35183715820312,110.64605233953374,5.5878728157256194,1,0.8478260869565217,2,46
correct,0,211,654.4958456070697,74.8590316772461,105.09605294724756,173.13632171450203,3,0.5972222222222222,3,72
correct,0,212,756.5349641393443,71.75032043457031,71.88134696621161,2.8234645004903167,1,0.6666666666666666,4,42
correct,0,213,702.5097256019467,11.211244583129883,11.211254873699005,170.951685149585,2,0.72,3,25
correct,0,214,682.9816054047132,46.43976974487305,133.55790182570814,1.4158033454917633,0,0.52,3,50
correct,0,215,650.227747182377,61.706260681152344,118.25412539241498,179.71951577403445,3,0.8095238095238095,2,21
correct,0,216,631.4385966316598,53.221580505371094,53.22700245581931,178.1968217098825,3,0.7857142857142857,4,28
correct,0,217,735.6079661885246,54.538185119628906,54.70718421167356,175.5397833313993,3,0.8108108108108109,2,37
correct,0,218,723.74609375,22.428102493286133,157.57135864375098,352.13417211150306,2,0.7777777777777778,2,36
correct,0,219,640.1826892289959,68.09510803222656,111.89597283654128,186.07289017886137,1,0.525,3,40
correct,0,220,766.9890336834017,51.46053695678711,51.48502209733219,187.68196189765644,1,0.4583333333333333,3,48
correct,0,221,632.6788230020492,82.59786987304688,82.62168458655829,185.9015611919788,1,0.6666666666666666,4,63
correct,0,222,647.0743708376025,4.451504230499268,175.54706289813222,154.28369913309072,3,0.9743589743589743,2,39
correct,0,223,692.5589459528688,87.6847152709961,87.6996016489723,355.7977770990927,0,0.6153846153846154,2,13
correct,0,224,708.5496766137295,65.68907165527344,65.81182909438763,177.07687524445706,0,0.59375,4,32
correct,0,225,759.6396484375,69.02208709716797,110.64870446947921,172.73835292637713,3,0.6388888888888888,4,36
correct,0,226,680.7460777407787,12.227410316467285,167.7717806500655,9.011845442502876,1,0.42028985507246375,4,69
correct,0,227,660.3824763063525,48.2996826171875,48.300492402546624,352.0347234171021,2,0.5925925925925926,3,27
correct,0,228,658.4765945184427,72.50286102294922,72.52415719904376,355.3936490675399,0,0.40476190476190477,4,42
