scenario,head,normalized_rank,attention_mean,ci95,n_samples
scale_5000_k60,1,0.5084745762711864,0.9998376037388503,0.00033801489898516423,3552
scale_5000_k60,1,0.5254237288135594,0.9994420961955109,0.0003466054882104389,3552
scale_5000_k60,1,0.5423728813559322,0.9998420953649927,0.00033895454579843356,3552
scale_5000_k60,1,0.559322033898305,1.000004072447081,0.0003419563058800517,3552
scale_5000_k60,1,0.576271186440678,0.999809527031339,0.0003370374473666982,3552
scale_5000_k60,1,0.5932203389830508,0.9998086591729441,0.00034295329112599235,3552
scale_5000_k60,1,0.6101694915254238,0.9998234143765928,0.00033769874473215983,3552
scale_5000_k60,1,0.6271186440677966,0.9998368193135336,0.0003391959894041949,3552
scale_5000_k60,1,0.6440677966101694,0.9996427917802656,0.00034518918756229716,3552
scale_5000_k60,1,0.6610169491525424,0.9995998342496317,0.0003415694399871935,3552
scale_5000_k60,1,0.6779661016949152,0.9993538640204582,0.00034576225552800604,3552
scale_5000_k60,1,0.6949152542372882,0.9994019115394032,0.00034071926347379195,3552
scale_5000_k60,1,0.711864406779661,0.9991214316136934,0.00034565948415102765,3552
scale_5000_k60,1,0.7288135593220338,0.9991581912177641,0.00034733164164551183,3552
scale_5000_k60,1,0.7457627118644068,0.9991235124232533,0.00034133259190160506,3552
scale_5000_k60,1,0.7627118644067796,0.9995390420427194,0.00034204835640144917,3552
scale_5000_k60,1,0.7796610169491526,0.9992975888454968,0.0003510599746398183,3552
scale_5000_k60,1,0.7966101694915254,0.99952311518493,0.00034424194663670795,3552
scale_5000_k60,1,0.8135593220338984,0.9991976066014251,0.00035350728317466463,3552
scale_5000_k60,1,0.8305084745762712,0.9991917679472281,0.0003536884134734854,3552
scale_5000_k60,1,0.847457627118644,0.9990212040710019,0.0003497654215664466,3552
scale_5000_k60,1,0.864406779661017,0.9993092964596308,0.0003569547895853902,3552
scale_5000_k60,1,0.8813559322033898,0.9986539345972978,0.0003546129122786408,3552
scale_5000_k60,1,0.8983050847457628,0.999044129859891,0.0003590501517343065,3552
scale_5000_k60,1,0.9152542372881356,0.9990368368825665,0.00036077734897650953,3552
scale_5000_k60,1,0.9322033898305084,0.9989923246473342,0.00036023083066050925,3552
scale_5000_k60,1,0.9491525423728814,0.9991329354611603,0.00035286268741536607,3552
scale_5000_k60,1,0.9661016949152542,0.9987803016126424,0.0003658796025881744,3552
scale_5000_k60,1,0.9830508474576272,0.9984937582399931,0.00036582274766046297,3552
scale_5000_k60,1,1.0,0.9983750341275522,0.0003642732944925824,3552
scale_5000_k60,2,0.0,1.0044263162490752,0.0012137304263093026,3552
scale_5000_k60,2,0.01694915254237288,1.0013781616145425,0.001156510311925486,3552
scale_5000_k60,2,0.03389830508474576,1.0007207211744678,0.0011584365262459317,3552
scale_5000_k60,2,0.05084745762711865,1.000720339466457,0.0011672797593886464,3552
scale_5000_k60,2,0.06779661016949153,0.9994075183362305,0.001128127697116423,3552
scale_5000_k60,2,0.0847457627118644,0.9995446395431016,0.0011098616761452814,3552
scale_5000_k60,2,0.1016949152542373,0.9996657786504911,0.0011318138186531487,3552
