representation,scenario,episode_id,sensor_id,time_h,mean_u_km,valid_k,encoder_umap_1,encoder_umap_2,recurrent_umap_1,recurrent_umap_2,visible_fraction,latent_knn_distance,umap_knn_distance,latent_cross_scenario_fraction,umap_cross_scenario_fraction,projection_mismatch,latent_neighbor_scenario,umap_neighbor_scenario,high_dimensional_outlier,projected_outlier,projection_intrusion,audit_priority
encoder,id_2000_k15,7,0,2.083333333333333,0.10151635,15,8.813835,5.0242653,-1.1421299,1.1577134,0.0,0.087553404,0.09694409205067928,0.0,0.7333333333333333,0.7333333333333333,id_2000_k15,team9_2000_k60,False,False,True,0.942390369733448
encoder,retrograde_2000_k60,0,3,3.333333333333333,0.0864547,60,13.396483,6.0723314,1.5225803,5.733066,0.0,0.08215446,0.0613803989596907,0.0,0.7333333333333333,0.7333333333333333,retrograde_2000_k60,id_2000_k60,False,False,True,0.942390369733448
encoder,id_2000_k15,7,10,3.1944444444444446,0.09143918,15,7.500671,15.462307,2.6806667,3.955995,0.0,0.14980513,0.0908594108021099,0.0,0.7333333333333333,0.7333333333333333,id_2000_k15,scale_5000_k60,False,False,True,0.942390369733448
encoder,id_2000_k15,3,10,4.305555555555555,0.087952815,15,6.925422,10.465997,1.147259,1.242925,0.0,0.11519146,0.09986463453106441,0.0,0.7333333333333333,0.7333333333333333,id_2000_k15,scale_5000_k60,False,False,True,0.942390369733448
encoder,id_2000_k15,1,8,1.9444444444444444,0.10532074,15,8.009133,11.047376,2.1709988,4.370585,0.0,0.14344949,0.09641955892548297,0.0,0.7333333333333333,0.7333333333333333,id_2000_k15,id_2000_k60,False,False,True,0.942390369733448
recurrent,retrograde_2000_k60,2,1,4.166666666666667,0.08505421,60,16.20462,9.007602,0.48017886,2.4873693,0.016666666666666666,0.014850092,0.07186089468452753,0.0,0.7333333333333333,0.7333333333333333,retrograde_2000_k60,id_2000_k15,False,False,True,0.942390369733448
recurrent,retrograde_2000_k60,2,8,3.888888888888889,0.08539289,60,10.075842,17.273252,1.8667387,10.054287,0.016666666666666666,0.014082718,0.06033936746609527,0.0,0.7333333333333333,0.7333333333333333,retrograde_2000_k60,id_2000_k15,False,False,True,0.942390369733448
recurrent,retrograde_2000_k60,2,10,3.1944444444444446,0.08690681,60,9.593505,17.169575,1.7898943,8.627079,0.0,0.012502316,0.09382175382396545,0.0,0.7333333333333333,0.7333333333333333,retrograde_2000_k60,id_2000_k15,False,False,True,0.942390369733448
recurrent,id_2000_k15,0,10,4.305555555555555,0.0879774,15,6.806538,11.88139,-5.1061068,5.5146646,0.0,0.03236003,0.09420625791223018,0.0,0.7333333333333333,0.7333333333333333,id_2000_k15,retrograde_2000_k60,False,False,True,0.942390369733448
recurrent,retrograde_2000_k60,2,9,2.7777777777777777,0.08780647,60,15.142033,11.803205,-0.3404716,0.6273377,0.016666666666666666,0.02251041,0.08907135438427277,0.0,0.7333333333333333,0.7333333333333333,retrograde_2000_k60,team9_2000_k60,False,False,True,0.942390369733448
encoder,scale_5000_k60,7,10,2.083333333333333,0.8527162,60,9.234539,14.400405,2.5516002,4.815174,0.016666666666666666,0.05481277,0.054616287413975576,0.0,0.7333333333333333,0.7333333333333333,scale_5000_k60,id_2000_k15,False,False,True,0.942390369733448
encoder,id_2000_k15,3,9,1.25,0.16555583,15,9.114872,13.3797035,2.9132018,4.613388,0.06666666666666667,0.12278247,0.0659195899420122,0.0,0.7333333333333333,0.7333333333333333,id_2000_k15,id_2000_k60,False,False,True,0.942390369733448
recurrent,retrograde_2000_k60,4,2,0.8333333333333334,0.20250411,60,15.595026,10.368633,-2.2483118,1.61918,0.0,0.020190096,0.07305158914075258,0.0,0.7333333333333333,0.7333333333333333,retrograde_2000_k60,id_2000_k60,False,False,True,0.942390369733448
recurrent,id_2000_k15,2,5,4.998611111111111,0.08795837,15,5.580946,11.703413,-1.2861733,5.4000034,0.0,0.06801502,0.16980423084208046,0.0,0.7333333333333333,0.7333333333333333,id_2000_k15,scale_5000_k60,True,False,True,0.942390369733448
recurrent,retrograde_2000_k60,2,11,1.9444444444444444,0.09787847,60,15.308981,12.071299,-0.35238045,0.589161,0.03333333333333333,0.02452021,0.11018685654104834,0.0,0.7333333333333333,0.7333333333333333,retrograde_2000_k60,team9_2000_k60,False,False,True,0.942390369733448
encoder,id_2000_k15,3,8,0.8333333333333334,0.23268071,15,7.4537506,15.49669,2.2051928,4.204517,0.0,0.12229776,0.09085251057971666,0.0,0.7333333333333333,0.7333333333333333,id_2000_k15,scale_5000_k60,False,False,True,0.942390369733448
encoder,id_2000_k60,3,3,3.611111111111111,0.08495087,60,14.513368,5.790969,-3.5363324,8.287701,0.0,0.15364726,0.09422862214705299,0.3333333333333333,0.6666666666666666,0.3333333333333333,id_2000_k60,id_2000_k15,False,False,True,0.942390369733448
recurrent,id_2000_k15,7,5,1.3888888888888888,0.15110773,15,5.737102,11.485501,1.0320055,4.753104,0.0,0.034942932,0.13878637635237842,0.0,0.7333333333333333,0.7333333333333333,id_2000_k15,id_2000_k60,False,False,True,0.942390369733448
recurrent,id_2000_k15,5,6,4.583333333333333,0.08828407,15,5.781621,11.156066,1.2857141,2.8012822,0.0,0.021368269,0.0896341792060403,0.0,0.7333333333333333,0.7333333333333333,id_2000_k15,scale_5000_k60,False,False,True,0.942390369733448
