scenario,episode_id,sensor_id,time_h,mean_u_km,valid_k,encoder_umap_1,encoder_umap_2,recurrent_umap_1,recurrent_umap_2
id_2000_k60,3,11,0.4166666666666667,2.526228,60,9.284779,1.1141553,4.877679,5.7708087
id_2000_k60,0,0,0.5555555555555556,0.47575903,60,9.056649,5.1094174,0.1374802,3.08694
id_2000_k60,0,1,0.5555555555555556,0.47575903,60,12.646903,7.810678,0.43720892,9.154444
id_2000_k60,0,2,0.5555555555555556,0.47575903,60,14.282006,4.8205814,-1.4212258,9.9401
id_2000_k60,0,3,0.5555555555555556,0.47575903,60,11.1234045,4.899619,1.195816,9.564985
id_2000_k60,0,4,0.5555555555555556,0.47575903,60,5.262107,13.137785,-2.9795477,4.542895
id_2000_k60,0,5,0.5555555555555556,0.47575903,60,4.966331,15.765198,1.4545016,4.3531375
id_2000_k60,0,6,0.5555555555555556,0.47575903,60,11.801152,14.289227,1.4713537,10.144759
id_2000_k60,0,7,0.5555555555555556,0.47575903,60,8.2547245,12.240592,-2.6248348,10.0095215
id_2000_k60,0,8,0.5555555555555556,0.47575903,60,6.956175,10.465349,1.1374875,1.0889834
id_2000_k60,0,9,0.5555555555555556,0.47575903,60,7.755349,15.838342,1.4819304,2.3534567
id_2000_k60,0,10,0.5555555555555556,0.47575903,60,10.416709,13.56553,-2.703992,6.9310913
id_2000_k60,0,11,0.5555555555555556,0.47575903,60,8.567328,11.117223,-0.5539487,3.787978
id_2000_k60,1,0,0.5555555555555556,0.5653217,60,10.549775,6.066642,-0.15672937,6.0397334
id_2000_k60,1,1,0.5555555555555556,0.5653217,60,8.656829,8.025141,-1.9343268,3.7864885
id_2000_k60,1,2,0.5555555555555556,0.5653217,60,14.619178,5.6710815,-3.1880953,9.904812
id_2000_k60,1,3,0.5555555555555556,0.5653217,60,11.476293,5.54837,-0.25134966,8.573075
id_2000_k60,1,4,0.5555555555555556,0.5653217,60,5.0417233,14.212618,0.53702444,6.43876
id_2000_k60,1,5,0.5555555555555556,0.5653217,60,11.502606,15.564574,1.7393893,8.9889555
id_2000_k60,1,6,0.5555555555555556,0.5653217,60,13.261612,14.710047,1.111702,5.3306627
id_2000_k60,1,7,0.5555555555555556,0.5653217,60,10.974241,11.96905,-3.0507555,4.8999343
id_2000_k60,1,8,0.5555555555555556,0.5653217,60,6.965847,14.423671,0.28927547,8.095294
id_2000_k60,1,9,0.5555555555555556,0.5653217,60,8.011521,15.893628,2.010235,7.132667
id_2000_k60,1,10,0.5555555555555556,0.5653217,60,8.630835,15.138047,0.9087886,3.0859778
id_2000_k60,1,11,0.5555555555555556,0.5653217,60,10.53835,12.078213,-3.256067,6.0929685
id_2000_k60,2,0,0.5555555555555556,0.5538695,60,9.995966,7.367087,-2.0810823,9.979744
id_2000_k60,2,1,0.5555555555555556,0.5538695,60,13.033416,7.469825,2.434567,8.895529
id_2000_k60,2,2,0.5555555555555556,0.5538695,60,14.642292,5.61979,-2.0781684,10.38107
id_2000_k60,2,3,0.5555555555555556,0.5538695,60,11.15498,4.9216485,1.9852854,10.1129675
id_2000_k60,2,4,0.5555555555555556,0.5538695,60,5.6802707,14.655039,0.8057367,6.990881
id_2000_k60,2,5,0.5555555555555556,0.5538695,60,12.529641,14.882938,-3.2416463,5.744702
id_2000_k60,2,6,0.5555555555555556,0.5538695,60,11.67502,14.664075,0.02945165,10.053937
id_2000_k60,2,7,0.5555555555555556,0.5538695,60,8.288707,12.17956,-1.6247175,10.797555
id_2000_k60,2,8,0.5555555555555556,0.5538695,60,5.674998,12.543815,-2.701706,7.501595
id_2000_k60,2,9,0.5555555555555556,0.5538695,60,9.7023325,16.523003,2.6117043,9.131562
id_2000_k60,2,10,0.5555555555555556,0.5538695,60,9.049791,14.625213,1.8710248,5.5209103
id_2000_k60,2,11,0.5555555555555556,0.5538695,60,9.077332,11.565069,0.47594857,7.725462
id_2000_k60,3,0,0.5555555555555556,0.526132,60,9.769608,7.316416,-1.9271753,10.421579
id_2000_k60,3,1,0.5555555555555556,0.526132,60,13.016982,7.501351,2.3681102,8.743094
id_2000_k60,3,2,0.5555555555555556,0.526132,60,14.169441,4.9338865,-1.2615578,8.802619
id_2000_k60,3,3,0.5555555555555556,0.526132,60,10.385374,5.029181,-0.22207119,8.239006
id_2000_k60,3,4,0.5555555555555556,0.526132,60,7.445929,12.797243,-0.9666232,10.099191
id_2000_k60,3,5,0.5555555555555556,0.526132,60,11.516746,16.200617,2.1675858,7.7762885
id_2000_k60,3,6,0.5555555555555556,0.526132,60,13.324921,14.711764,2.1644511,6.2729726
id_2000_k60,3,7,0.5555555555555556,0.526132,60,8.025472,12.206108,-2.2244935,10.229413
id_2000_k60,3,8,0.5555555555555556,0.526132,60,5.963578,12.966142,-3.4783509,7.3964186
id_2000_k60,3,9,0.5555555555555556,0.526132,60,8.066008,16.266323,1.0696685,5.1262217
id_2000_k60,3,10,0.5555555555555556,0.526132,60,8.961025,14.751841,1.0779318,3.514936
id_2000_k60,3,11,0.5555555555555556,0.526132,60,9.299569,11.161313,-3.0033944,4.877963
id_2000_k60,0,0,0.6944444444444444,0.22713648,60,10.856127,7.460286,-1.2386733,10.120505
id_2000_k60,0,1,0.6944444444444444,0.22713648,60,13.191678,6.701431,1.2324398,10.3402605
id_2000_k60,0,2,0.6944444444444444,0.22713648,60,14.002339,5.8104477,-2.459261,10.280282
id_2000_k60,0,3,0.6944444444444444,0.22713648,60,9.26548,5.838302,-2.5072682,3.6105077
id_2000_k60,0,4,0.6944444444444444,0.22713648,60,4.7426553,14.815089,-1.8902552,6.988089
id_2000_k60,0,5,0.6944444444444444,0.22713648,60,12.730863,14.744939,-1.0685439,7.3982944
id_2000_k60,0,6,0.6944444444444444,0.22713648,60,11.462963,14.09863,-2.7637255,9.937175
id_2000_k60,0,7,0.6944444444444444,0.22713648,60,4.5988054,12.777945,-0.9953205,2.342382
