scenario,scenario_label,method,method_label,episode_id,rso_id,u_total_km
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,27,86.16614532470703
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,28,1.4452621936798096
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,29,2.1823079586029053
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,0,38.34149169921875
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,1,39.286624908447266
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,2,107.86963653564453
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,3,8.612500190734863
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,4,0.3268704414367676
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,5,102.76090240478516
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,6,108.73895263671875
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,7,0.12107067555189133
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,8,108.39761352539062
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,9,1.23258376121521
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,10,0.20913492143154144
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,11,1.5386449098587036
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,12,4.388818740844727
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,13,11.973000526428223
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,14,116.68711853027344
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,15,2.96940541267395
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,16,98.65559387207031
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,17,11.992925643920898
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,18,0.3685394525527954
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,19,0.3217695355415344
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,20,109.20829010009766
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,21,2.8765504360198975
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,22,107.968505859375
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,23,0.4623231291770935
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,24,108.06591796875
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,25,0.26842236518859863
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,26,3.153275489807129
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,27,35.26068878173828
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,28,3.3933370113372803
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,8,29,120.63121795654297
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,0,1.0341352224349976
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,1,90.46068572998047
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,2,0.27545228600502014
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,3,0.2991357743740082
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,4,0.2989451289176941
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,5,108.77339172363281
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,6,8.888326644897461
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,7,13.092616081237793
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,8,0.38489237427711487
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,9,1.1287212371826172
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,10,0.5195582509040833
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,11,28.306835174560547
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,12,92.97147369384766
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,13,0.733837366104126
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,14,25.60578155517578
