scenario,scenario_label,method,method_label,step,sim_time_s,mean_u_km,std_u_km,n_episodes
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,3450,17245.0,2.054483661651611,2.257212335722503,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,3500,17495.0,1.9712931823730468,2.196099127871318,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,3550,17745.0,1.8079856872558593,1.9587711775289611,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,3600,17995.0,1.7381913566589355,1.8240853963288113,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,3650,18245.0,1.6713915824890138,1.8075088870701048,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,3700,18495.0,1.4931205749511718,1.565956094290597,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,3750,18745.0,1.3198612785339356,1.0857763955561843,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,3800,18995.0,1.2347439193725587,0.988532077987204,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,3850,19245.0,1.19400728225708,0.9647376719072357,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,3900,19495.0,1.1463885688781739,0.9148307829427376,100
