hour,sim_time_s,episode_id,reset_seed,vector_env_index,rso_id,u_total_km
0,0,18,30000,18,26,8.314584732055664
0,0,18,30000,18,27,9.42907428741455
0,0,18,30000,18,28,8.930566787719727
0,0,18,30000,18,29,9.519136428833008
0,0,19,30000,19,0,7.902890682220459
0,0,19,30000,19,1,8.927164077758789
0,0,19,30000,19,2,7.825345993041992
0,0,19,30000,19,3,8.36519718170166
0,0,19,30000,19,4,6.503541469573975
0,0,19,30000,19,5,10.197198867797852
0,0,19,30000,19,6,8.7705659866333
0,0,19,30000,19,7,6.008340358734131
0,0,19,30000,19,8,10.169122695922852
0,0,19,30000,19,9,9.92214298248291
0,0,19,30000,19,10,9.064554214477539
0,0,19,30000,19,11,7.306425094604492
0,0,19,30000,19,12,8.974554061889648
0,0,19,30000,19,13,7.590933322906494
0,0,19,30000,19,14,5.984003067016602
0,0,19,30000,19,15,7.749338150024414
0,0,19,30000,19,16,8.830504417419434
0,0,19,30000,19,17,8.664711952209473
0,0,19,30000,19,18,6.068967342376709
0,0,19,30000,19,19,8.29055118560791
0,0,19,30000,19,20,8.198813438415527
0,0,19,30000,19,21,7.911998748779297
0,0,19,30000,19,22,8.937827110290527
0,0,19,30000,19,23,6.41558837890625
0,0,19,30000,19,24,8.2275972366333
0,0,19,30000,19,25,6.8321661949157715
0,0,19,30000,19,26,6.742714881896973
0,0,19,30000,19,27,9.209955215454102
0,0,19,30000,19,28,6.864283561706543
0,0,19,30000,19,29,9.670541763305664
1,3600,0,30000,0,0,36.790565490722656
1,3600,0,30000,0,1,11.83295726776123
1,3600,0,30000,0,2,41.54967498779297
1,3600,0,30000,0,3,2.3263144493103027
1,3600,0,30000,0,4,6.3186821937561035
1,3600,0,30000,0,5,15.153389930725098
1,3600,0,30000,0,6,36.53648376464844
1,3600,0,30000,0,7,7.637145042419434
1,3600,0,30000,0,8,1.165914535522461
1,3600,0,30000,0,9,1.6616460084915161
1,3600,0,30000,0,10,7.60150671005249
1,3600,0,30000,0,11,2.9044737815856934
1,3600,0,30000,0,12,39.0418701171875
1,3600,0,30000,0,13,36.67718505859375
1,3600,0,30000,0,14,5.038501739501953
1,3600,0,30000,0,15,0.21548780798912048
1,3600,0,30000,0,16,4.143636703491211
1,3600,0,30000,0,17,42.66410827636719
1,3600,0,30000,0,18,25.631126403808594
1,3600,0,30000,0,19,13.402420043945312
1,3600,0,30000,0,20,16.273813247680664
1,3600,0,30000,0,21,5.162532806396484
1,3600,0,30000,0,22,2.2477476596832275
1,3600,0,30000,0,23,18.51447105407715
1,3600,0,30000,0,24,0.4456198811531067
1,3600,0,30000,0,25,0.22943422198295593
1,3600,0,30000,0,26,40.32258224487305
1,3600,0,30000,0,27,46.6564826965332
1,3600,0,30000,0,28,2.364772319793701
1,3600,0,30000,0,29,0.19744420051574707
1,3600,1,30000,1,0,46.87907409667969
1,3600,1,30000,1,1,34.38806915283203
1,3600,1,30000,1,2,1.7061800956726074
1,3600,1,30000,1,3,2.240532875061035
1,3600,1,30000,1,4,2.671292543411255
1,3600,1,30000,1,5,0.8871279954910278
1,3600,1,30000,1,6,7.9681010246276855
1,3600,1,30000,1,7,0.16731804609298706
1,3600,1,30000,1,8,0.12255901098251343
1,3600,1,30000,1,9,1.4573612213134766
1,3600,1,30000,1,10,34.223262786865234
1,3600,1,30000,1,11,0.15385541319847107
1,3600,1,30000,1,12,39.17597198486328
1,3600,1,30000,1,13,44.90418243408203
1,3600,1,30000,1,14,46.07890319824219
1,3600,1,30000,1,15,43.006160736083984
1,3600,1,30000,1,16,32.584693908691406
1,3600,1,30000,1,17,24.920385360717773
1,3600,1,30000,1,18,21.18365478515625
1,3600,1,30000,1,19,38.67219161987305
1,3600,1,30000,1,20,43.46922302246094
1,3600,1,30000,1,21,33.61389923095703
