scenario,episode_id,time_h,mean_u_km,pre_umap_1,pre_umap_2,post_umap_1,post_umap_2
catalogue_120,6,2.6666666666666665,7.215005,-0.56910276,17.250206,-7.71247,10.189085
catalogue_120,7,2.6666666666666665,20.364222,-4.7626395,14.708175,-4.9333487,14.389684
catalogue_120,4,2.6944444444444446,7.9700623,-5.4908457,14.247022,-6.852015,11.819853
catalogue_120,5,2.6944444444444446,8.256545,-6.1218605,13.883528,-7.1764045,10.590505
catalogue_120,6,2.6944444444444446,7.248942,-0.44244412,17.218222,-7.8442035,10.309028
catalogue_120,7,2.6944444444444446,19.978088,-4.747044,14.775674,-5.0270896,14.396299
catalogue_120,4,2.7222222222222223,7.8911824,-4.749552,14.743212,-5.412894,14.073733
catalogue_120,5,2.7222222222222223,8.301379,-5.7030544,14.559735,-7.1647735,11.928705
catalogue_120,6,2.7222222222222223,7.28884,-0.40297472,17.216074,-7.9512243,10.391147
catalogue_120,7,2.7222222222222223,20.457636,-5.7447195,13.90474,-6.967463,11.24978
catalogue_120,4,2.75,7.8602214,-5.500964,13.950263,-6.7929344,11.500611
catalogue_120,5,2.75,8.3163395,-4.905878,14.951523,-5.795806,13.843844
catalogue_120,6,2.75,7.321879,-0.10370932,17.09146,-8.144701,10.657295
catalogue_120,7,2.75,20.931852,-5.184341,12.937013,-6.3037863,10.360949
catalogue_120,4,2.7777777777777777,7.8805346,-4.227658,12.171636,-2.9616036,13.591007
catalogue_120,5,2.7777777777777777,8.461584,-5.483712,14.650436,-6.698005,12.393945
catalogue_120,6,2.7777777777777777,7.266912,-0.68311393,17.2214,-7.622432,10.12627
catalogue_120,7,2.7777777777777777,21.44156,-4.423185,12.449433,-5.5408435,3.5124087
catalogue_120,4,2.8055555555555554,7.8466287,-3.9822378,11.922834,-1.7854939,13.950898
catalogue_120,5,2.8055555555555554,8.601957,-5.5438666,14.790855,-6.876066,12.488594
catalogue_120,6,2.8055555555555554,7.3015647,-0.15806474,17.120815,-8.126744,10.62244
catalogue_120,7,2.8055555555555554,21.577646,-4.431319,12.811903,-3.566699,13.624503
catalogue_120,4,2.8333333333333335,7.718293,-4.1875143,12.028427,-2.8781285,13.608742
catalogue_120,5,2.8333333333333335,8.710361,-5.636817,14.902655,-6.8358655,12.603354
catalogue_120,6,2.8333333333333335,7.2895894,-0.062212035,17.077124,-8.199596,10.67982
catalogue_120,7,2.8333333333333335,21.845308,-4.087657,12.545626,-3.0877874,14.08506
catalogue_120,4,2.861111111111111,7.653946,-4.1365175,12.010678,-2.8561459,13.660245
catalogue_120,5,2.861111111111111,8.87967,-5.4877896,14.91706,-6.7001863,12.771597
catalogue_120,6,2.861111111111111,7.273736,-0.47888562,17.16705,-7.8949275,10.298678
catalogue_120,7,2.861111111111111,22.202293,-4.1929674,13.128181,-3.3399172,14.339326
catalogue_120,4,2.888888888888889,7.5967665,-4.174703,12.062588,-2.858263,13.633425
catalogue_120,5,2.888888888888889,8.967841,-5.875358,14.7153635,-7.380943,11.775325
catalogue_120,6,2.888888888888889,7.2671356,-0.9003482,17.07468,-5.6796956,9.537833
catalogue_120,7,2.888888888888889,22.532928,-4.7627077,14.636789,-4.8325586,14.4081335
catalogue_120,4,2.9166666666666665,7.560963,-4.193568,12.042342,-2.8970687,13.614066
catalogue_120,5,2.9166666666666665,9.024346,-6.1192117,14.281326,-7.473336,11.309065
catalogue_120,6,2.9166666666666665,7.3062057,-0.99284387,17.076921,-5.832693,9.524962
catalogue_120,7,2.9166666666666665,21.228062,-4.822175,14.743934,-5.6428914,14.101298
catalogue_120,4,2.9444444444444446,7.5173798,-4.133676,12.045662,-2.8445346,13.713634
catalogue_120,5,2.9444444444444446,9.08598,-5.6174192,14.9097,-6.858999,12.66223
catalogue_120,6,2.9444444444444446,7.345045,-0.63390064,17.106981,-7.52461,10.066301
catalogue_120,7,2.9444444444444446,21.665638,-4.7690663,14.677139,-4.8808184,14.445593
catalogue_120,4,2.9722222222222223,7.4631877,-3.9952614,11.951314,-1.6794926,14.2193
catalogue_120,5,2.9722222222222223,9.148896,-6.2241287,14.204397,-7.472063,11.172594
catalogue_120,6,2.9722222222222223,7.4205647,-0.34122208,17.0864,-7.9670606,10.493308
catalogue_120,7,2.9722222222222223,22.109165,-4.783607,14.663264,-4.866241,14.399033
catalogue_120,4,3.0,7.19118,-3.928417,11.881904,-1.5246365,14.219572
catalogue_120,5,3.0,9.189299,-6.137433,14.226838,-7.489449,11.234124
catalogue_120,6,3.0,7.4993734,-6.2087054,14.567293,-7.651315,11.3117485
catalogue_120,7,3.0,21.663403,-5.709529,14.871196,-6.9436584,12.611882
catalogue_120,4,3.0277777777777777,7.1089406,-4.056561,12.270678,-2.6225135,14.066745
catalogue_120,5,3.0277777777777777,9.166638,-5.6093655,14.889553,-6.910973,12.596549
catalogue_120,6,3.0277777777777777,7.598814,-5.962794,14.570886,-7.2506294,11.753606
catalogue_120,7,3.0277777777777777,21.326769,-4.9946,14.500977,-5.7780604,13.5700655
catalogue_120,4,3.0555555555555554,6.9800925,-4.253766,13.046232,-3.467153,14.087758
catalogue_120,5,3.0555555555555554,9.193894,-4.712901,14.855306,-5.2009363,14.346732
catalogue_120,6,3.0555555555555554,7.673348,-5.2313137,14.936869,-6.4540296,12.799542
catalogue_120,7,3.0555555555555554,21.830769,-4.2695894,13.130677,-3.6327102,13.833197
catalogue_120,4,3.0833333333333335,6.6679516,-5.3583703,13.092828,-6.338567,10.31906
catalogue_120,5,3.0833333333333335,9.182938,-6.1566195,14.149838,-7.529073,11.211488
catalogue_120,6,3.0833333333333335,7.7293367,-6.001626,14.284938,-7.221515,10.975651
catalogue_120,7,3.0833333333333335,21.99676,-4.210551,13.073088,-3.3489387,14.170606
catalogue_120,4,3.111111111111111,6.637517,-4.396735,12.37315,-5.519523,3.5311916
catalogue_120,5,3.111111111111111,9.200312,-6.080959,14.295043,-7.4934335,11.373773
catalogue_120,6,3.111111111111111,7.773943,-5.1039076,14.889321,-6.4568453,12.75348
catalogue_120,7,3.111111111111111,21.71719,-4.2734647,13.183058,-3.688249,13.956659
catalogue_120,4,3.138888888888889,6.612656,-4.0799856,12.286277,-2.4445093,14.059812
catalogue_120,5,3.138888888888889,8.347426,-5.664445,14.889586,-6.863211,12.637905
catalogue_120,6,3.138888888888889,7.846385,-5.7857423,14.467519,-6.954991,11.793251
catalogue_120,7,3.138888888888889,21.762749,-5.789156,14.845067,-7.0419974,12.4272785
catalogue_120,4,3.1666666666666665,6.572286,-4.851772,14.577781,-4.769392,14.334939
catalogue_120,5,3.1666666666666665,8.4551325,-6.3548803,14.254903,-7.694114,10.836278
catalogue_120,6,3.1666666666666665,7.8939576,-5.5573087,14.6075,-6.907985,11.906104
catalogue_120,7,3.1666666666666665,21.015442,-5.778845,13.91652,-7.09461,11.13622
catalogue_120,4,3.1944444444444446,5.7386537,-5.3195586,12.914453,-6.258045,10.275936
catalogue_120,5,3.1944444444444446,8.000978,-5.6141076,14.937543,-6.8152575,12.678924
catalogue_120,6,3.1944444444444446,7.8938017,-5.560894,14.617149,-7.0535727,11.810918
catalogue_120,7,3.1944444444444446,21.084913,-4.6145597,12.909941,-6.0901127,11.203239
